"KS" "K" "AD" "CvM" "W" "ZA" "ZC" "Wassp1" "chi.large.Pearson" "chi.small.Pearson" "chi.large.LR.m" "chi.small.LR.m"
"1: Uniform - Linear" 0.054 0.048 0.061 0.063 0.046 0.066 0.054 0.062 0.049 0.03 0.059 0.031
"2: Uniform - Quadratic" 0.044 0.046 0.04 0.041 0.045 0.037 0.055 0.048 0.051 0.033 0.057 0.03
"3: Uniform - Uniform+Bump" 0.048 0.041 0.044 0.041 0.041 0.042 0.049 0.045 0.05 0.028 0.055 0.029
"4: Uniform - Spikes" 0.054 0.052 0.047 0.053 0.049 0.041 0.042 0.049 0.041 0.032 0.055 0.032
"5: Beta(2,2) - Beta(a,a)" 0.047 0.039 0.045 0.044 0.034 0.037 0.04 0.04 0.044 0.028 0.052 0.033
"6: Beta(2,2) - Beta(2,a)" 0.053 0.053 0.056 0.062 0.057 0.042 0.048 0.055 0.036 0.029 0.041 0.033
"7: Normal - Shift" 0.062 0.06 0.054 0.054 0.065 0.045 0.052 0.054 0.037 0.027 0.044 0.03
"8: Normal  - Stretch" 0.052 0.055 0.054 0.059 0.069 0.055 0.045 0.055 0.043 0.029 0.047 0.027
"10: Normal  - Outliers large" 0.048 0.041 0.062 0.051 0.036 0.056 0.056 0.064 0.04 0.037 0.051 0.038
"11: Normal  - Outliers" 0.047 0.061 0.057 0.05 0.048 0.05 0.046 0.055 0.034 0.03 0.034 0.032
"12: Exponential - Gamma" 0.06 0.043 0.059 0.064 0.058 0.059 0.063 0.059 0.048 0.034 0.048 0.032
"13: Exponential - Weibull" 0.046 0.055 0.053 0.053 0.045 0.05 0.055 0.06 0.04 0.037 0.041 0.034
"14: Exponential - Bump" 0.051 0.049 0.042 0.043 0.04 0.062 0.061 0.051 0.05 0.036 0.051 0.036
"17: Exponential - Weibull, estimated" 0.051 0.05 0.061 0.058 0.037 0.003 0.055 0.06 0.027 0.015 0.016 0.016
